Feature,PSI,KS_Stat,KS_Pval,Drifted
Lag20,9.6381,0.7934,0.0,True
Lag10,9.6176,0.7912,0.0,True
Lag5,9.6065,0.7901,0.0,True
Lag1,9.6051,0.7892,0.0,True
Lag2,9.6051,0.7894,0.0,True
Lag3,9.6028,0.7896,0.0,True
RollingMean_10,9.5974,0.7942,0.0,True
RollingMean_5,9.5701,0.792,0.0,True
RollingStd_10,9.3351,0.7584,0.0,True
RollingStd_5,8.421,0.7462,0.0,True
MACD,3.6663,0.4049,0.0,True
MACD_Signal,2.7857,0.4049,0.0,True
OBV_Ratio,2.7082,0.2852,0.0,True
MACD_Hist,2.7048,0.3268,0.0,True
EMA_Cross,2.6321,0.3904,0.0,True
Volume,1.7548,0.516,0.0,True
Price_vs_MA200,1.5267,0.215,0.0,True
Volatility,0.6304,0.2905,0.0,True
ATR_Norm,0.522,0.302,0.0,True
Volatility_5,0.2484,0.2321,0.0,True
RangePct,0.2465,0.2106,0.0,True
Range_Norm,0.2345,0.2095,0.0,True
BB_Width,0.2322,0.1754,0.0,True
Price_vs_MA50,0.2097,0.1017,0.0,True
MACD_Norm,0.1774,0.1125,0.0,False
Momentum20,0.1201,0.0955,0.0,False
Price_vs_MA21,0.0881,0.0816,0.0,False
RetLag2,0.0644,0.064,0.0011,False
RetLag5,0.0639,0.0626,0.0014,False
RetLag3,0.0637,0.0642,0.001,False
Price_vs_MA10,0.0633,0.0725,0.0001,False
LogReturn,0.0609,0.0629,0.0014,False
Return,0.0609,0.0629,0.0014,False
Volume_Ratio,0.0604,0.0758,0.0001,False
Momentum10,0.0595,0.0753,0.0001,False
Volume_Ratio20,0.0585,0.0819,0.0,False
RetLag1,0.0582,0.0596,0.0029,False
Momentum5,0.0562,0.0675,0.0005,False
Price_vs_MA5,0.0524,0.0561,0.006,False
Stoch_D,0.0511,0.0587,0.0035,False
Stoch_K,0.0384,0.0526,0.0122,False
Williams_R,0.0384,0.0526,0.0122,False
CCI,0.0255,0.0338,0.2407,False
BB_Pct,0.0196,0.0386,0.127,False
VolRatio_5_20,0.0193,0.0458,0.0417,False
Month,0.0124,0.0553,0.007,False
Quarter,0.0105,0.051,0.0163,False
RSI7,0.01,0.0281,0.4537,False
RSI,0.0081,0.0286,0.4323,False
DayOfWeek,0.0002,0.0031,1.0,False
EarningsMonth,0.0,0.0002,1.0,False
Regime,0.0,0.0,1.0,False
Regime_Bear,0.0,0.0,1.0,False
Regime_Side,0.0,0.0,1.0,False
Regime_Bull,0.0,0.0,1.0,False
